Brewery Name,City,State,Country,Year Established,In Business?,Closed?
Clearwater,Clearwater,Florida,UNITED STATES,1978,Y,N
Clearwater,Clearwater,Florida,UNITED STATES,1993,Y,N
Clermont Aubiere,Clermont Aubiere,['null'],['null'],1986,['null'],['null']
Cleveland,North Olmsted,Ohio,UNITED STATES,2012,Y,N
Cleveland ChopHouse & Brewery,Cleveland,Ohio,UNITED STATES,1996,Y,Y
Clifford Brewing Co.,Hamilton,Ontario,CANADA,2015,Y,N
Clifton Park,Clifton Park,New York,UNITED STATES,1996,Y,N
Cloud 9 Brewery,Boise,Idaho,UNITED STATES,2012,Y,N
Clouds Brewing,Durham,North Carolina,UNITED STATES,2014,Y,N
Clubhouse Brewing Company,Warren,Ohio,UNITED STATES,2017,Y,N
Clybourn,Chicago,Illinois,UNITED STATES,1995,Y,N
Cock-a-Doodle Brews,Lone Jack,Missouri,UNITED STATES,1997,Y,N
College Station,College Station,Texas,UNITED STATES,1978,Y,N
Collegeville,Collegeville,Pennsylvania,UNITED STATES,1951,Y,N
Collindale,Fort Collins,Colorado,UNITED STATES,1971,Y,N
Colorado Cellars Winery,Palisade,Colorado,UNITED STATES,1978,Y,N
Colorado Springs,Colorado Springs,Colorado,UNITED STATES,1971,Y,N
Colorado Springs,Colorado Springs,Colorado,UNITED STATES,1978,Y,N
Colorado Springs,Colorado Springs,Colorado,UNITED STATES,1998,Y,N
Columbia,Columbia,Maryland,UNITED STATES,2001,Y,N
Columbus,Columbus,Ohio,UNITED STATES,1852,Y,N
Common Space Brewery,Hawthorne,California,UNITED STATES,2018,Y,N
Concord,Concord,California,UNITED STATES,1978,Y,N
Contract Brewery,Chicago,Illinois,UNITED STATES,2016,Y,N
Coquelles,Coquelles,['null'],['null'],1986,['null'],['null']
Cornelius Pass Roadhouse Brewery,Hillsboro,Oregon,UNITED STATES,1983,Y,N
Corona,Corona,California,UNITED STATES,1976,Y,N
Corona,Corona,California,UNITED STATES,1978,Y,N
Corsaire,Lévis,Québec,CANADA,2008,Y,N
Cottonwood Public House,St Vicksburg,Mississippi,UNITED STATES,2018,Y,N
Coulee Brew Co.,Lethbridge,Alberta,CANADA,2016,Y,N
Cranker's Coney Island,Mount Pleasant,Michigan,UNITED STATES,2012,Y,N
Cranker's Restaurant & Brewery,Grand Rapids,Michigan,UNITED STATES,2012,Y,N
Crystal Coast Brewing Company,Atlantic Beach,North Carolina,UNITED STATES,2017,Y,N
Dallas,Dallas,Texas,UNITED STATES,1997,Y,N
Dallas (NW Highway),Dallas,Texas,UNITED STATES,1976,Y,N
Das Kleine Brauhaus,Ulm,Baden-Wrttemberg,GERMANY,2003,Y,N
Deception Brewing Company,Dundee,Oregon,UNITED STATES,2014,Y,N
Deep Creek Brews and Eats,Browns Bay,Auckland,NEW ZEALAND,1996,Y,N
Denver Downtown,Denver,Colorado,UNITED STATES,1998,Y,N
Der Hirschbräu,Sonthofen,['null'],['null'],1657,['null'],['null']
Des Moines Branch,Des Moines,Iowa,UNITED STATES,2009,Y,N
Deschutes Brewery Portland Public House,Portland,Oregon,UNITED STATES,1988,Y,N
Desert Ridge,Phoenix,Arizona,UNITED STATES,1978,Y,N
DESTIHL Brewery & Beer Hall,Normal,Illinois,UNITED STATES,2013,Y,N
Devil Wind Brewing,Xenia,Ohio,UNITED STATES,2017,Y,N
Devil's Peak Brewing Company,Cape Town,Western Province,SOUTH AFRICA,2012,Y,N
Divine Barrel Brewing,Charlotte,North Carolina,UNITED STATES,2018,Y,N
Dobbers Sports Bar and Grill,Canandaigua,New York,UNITED STATES,2014,Y,N
Dogfish Head Brewings & Eats,Rehoboth Beach,Delaware,UNITED STATES,1995,Y,N
Double Mountain Taproom,Portland,Oregon,UNITED STATES,2007,Y,N
Downtown,San Diego,California,UNITED STATES,1989,Y,N
Downtown OKC,Oklahoma City,Oklahoma,UNITED STATES,1992,Y,N
Drake's Dealership,Oakland,California,UNITED STATES,1989,Y,N
Drekker Brewing Company,Fargo,North Dakota,UNITED STATES,2013,Y,N
Drunken Rabbit Brewing,South Hadley,Massachusetts,UNITED STATES,2017,Y,N
Dubious Claims Brewing,Excelsior Springs,Missouri,UNITED STATES,2018,Y,N
Duncan's Abbey,Tarrytown,New York,UNITED STATES,2013,Y,N
Dust Bowl Brewing Co.,Turlock,California,UNITED STATES,2009,Y,N
Eastern Front Brewing Co,Mattituck,New York,UNITED STATES,2015,Y,N
Eastlake,Chula Vista,California,UNITED STATES,1991,Y,N
Edgefield Brewery,Troutdale,Oregon,UNITED STATES,1983,Y,N
Edmund's Oast Brewery,Charleston,South Carolina,UNITED STATES,2013,Y,N
Eldorado Taphouse,Santa Fe,New Mexico,UNITED STATES,1988,Y,N
Eleventh Street,Omaha,Nebraska,UNITED STATES,1996,Y,N
Elk Brewing,Grand Rapids,Michigan,UNITED STATES,2014,Y,N
Elk Grove,Elk Grove,California,UNITED STATES,1978,Y,N
Emmett's Ale House,Downers Grove,Illinois,UNITED STATES,1999,Y,N
Encinitas,Encinitas,California,UNITED STATES,1991,Y,N
Englos,Englos,['null'],['null'],1986,['null'],['null']
Escondido,Escondido,California,UNITED STATES,1978,Y,N
Evergreen Tap House,Evergreen,Colorado,UNITED STATES,2015,Y,N
Fairfield,Fairfield,California,UNITED STATES,1852,Y,N
Fanning Brewing Company,Blue Ridge,Georgia,UNITED STATES,2012,Y,N
Farmington Brewing Company,Farmington,Michigan,UNITED STATES,2012,Y,N
Fegley's Allentown Brew Works,Allentown,Pennsylvania,UNITED STATES,1998,Y,N
Ferrari Beer Company,Dobbs Ferry,New York,UNITED STATES,2014,Y,N
Field Bordatto,Jaxu,['null'],['null'],2001,['null'],['null']
Finest Made Ales,Santee,California,UNITED STATES,2016,Y,N
Flix Brewhouse - Round Rock,Round Rock,Texas,UNITED STATES,2011,Y,N
Flying Belgian Brewery,Farmingdale,New York,UNITED STATES,2015,Y,N
Fools Fire Brewing Company,Tallahassee,Florida,UNITED STATES,2017,Y,N
Foothills Brewpub,Winston-Salem,North Carolina,UNITED STATES,2004,Y,N
Former Future Brewing Company,Denver,Colorado,UNITED STATES,2014,N,Y
Fort Point Beer Company,San Francisco,California,UNITED STATES,2013,Y,N
Fort Worth (hulen Mall),Fort Worth,Texas,UNITED STATES,1978,Y,N
Fortnight Brewing,Cary,North Carolina,UNITED STATES,2012,Y,N
Four Eyed Guys Brewing,Spokane,Washington,UNITED STATES,2016,Y,N
Framingham,Framingham,Massachusetts,UNITED STATES,1992,Y,N
Front Range Brewing Company Taproom,Lafayette,Colorado,UNITED STATES,2013,Y,N
Front Royal Brewing Co.,Front Royal,Virginia,UNITED STATES,2017,Y,N
Funky Buddha Brewery,Oakland Park,Florida,UNITED STATES,2010,Y,N
Gadsden,Gadsden,Alabama,UNITED STATES,2009,Y,N
"Gazcue, Cerveza Artesanal",Santo Domingo,Dominican Republic,DOMINICAN REPUBLIC,2013,Y,N
Generations brewing co.,Freeport,Illinios,UNITED STATES,2014,Y,N
Ghost Town Brewing,Oakland,California,UNITED STATES,2012,Y,N
Glasgow,['null'],['null'],['null'],2006,['null'],['null']
Good Nature Tap Room,Hamilton,New York,UNITED STATES,2010,Y,N
Great Notion Taproom,Portland,Oregon,UNITED STATES,2016,Y,N
Green Flash Brewing Co,Virginia Beach,Virginia,UNITED STATES,2002,Y,Y
Greensboro,Greensboro,North Carolina,UNITED STATES,2004,Y,N
Grixsen Brewing Co.,Portland,Oregon,UNITED STATES,2015,Y,N
