Brewery Name,City,State,Country,Year Established,In Business?,Closed?
4 Seasons Brewery,Lapeer,Michigan,UNITED STATES,2014,Y,N
40 North Brewing,Boulder,Colorado,UNITED STATES,2011,Y,N
4kd Crick Brewery,Defiance,Ohio,UNITED STATES,2016,Y,N
4S Ranch,San Diego,California,UNITED STATES,1989,Y,N
7 Cent Brewing,Gisborne South,Victoria,AUSTRALIA,2012,Y,N
7 Fjell Bryggeri,Bønes,Hordaland,NORWAY,2013,Y,N
7 Mile Brewery,Rio Grande,New Jersey,UNITED STATES,2016,Y,N
810 Meadworks,Medina,New York,UNITED STATES,2014,Y,N
84th Street Brewing Company,Lake Stevens,Washington,UNITED STATES,2014,Y,N
Abashiri Beer,Abashiri,Hokkaido,JAPAN,2007,Y,N
Aberrant Ales,Howell,Michigan,UNITED STATES,2017,Y,N
Able Baker Brewing Company,Henderson,Nevada,UNITED STATES,2016,Y,N
Accomplice Beer Company,Cheyenne,Wyoming,UNITED STATES,2016,Y,N
Addison,Addison,Texas,UNITED STATES,2013,Y,N
Adobe Creek Brewing Company,Novato,California,UNITED STATES,2017,Y,N
Adventure Brewing North,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Adventure Brewing South,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Alagoinhas,['null'],['null'],['null'],1994,['null'],['null']
Alaro Craft Brewery,Sacramento,California,UNITED STATES,2018,Y,N
Albany Brewery,Albany,Georgia,UNITED STATES,1895,Y,N
AleCraft Brewery,Bel Air,Maryland,UNITED STATES,2017,Y,N
Allen,Allen,Texas,UNITED STATES,1978,Y,N
Altitude Brewing,Frankton,Queenstown,NEW ZEALAND,2013,Y,N
Altstadt Brewery,Frederikdsburg,Texas,UNITED STATES,2016,Y,N
Amiens,Amiens,['null'],['null'],1986,['null'],['null']
Amos Howards Brew Pub,Hickory,North Carolina,UNITED STATES,1994,Y,N
Amy Seibel,Vancouver,WA - Washington,UNITED STATES,2012,Y,N
Angry Horse Brewing,Montebello,California,UNITED STATES,2014,Y,N
Angry James Brewery,Silverthorne,Colorado,UNITED STATES,2018,Y,N
Anjou,Anjou,Quebec,CANADA,1986,Y,N
Appalachian Flatbread Co.,Gettysburg,Pennsylvania,UNITED STATES,1951,Y,N
Apple Tree Cider Company,Tauranga,Bay of Plenty,NEW ZEALAND,2009,Y,N
Applewood Farm Winery,Whitchurch-Stouffville,Ontario,CANADA,2000,Y,N
Aqua,San Marcos,Texas,UNITED STATES,2016,Y,N
Arcadia,Arcadia,California,UNITED STATES,1978,Y,N
Arcadia Brewing Company Kalamazoo,Kalamazoo,Michigan,UNITED STATES,1996,Y,N
Argus Cidery,Austin,Texas,UNITED STATES,2010,Y,N
Armadillo Ale Works,Denton,Texas,UNITED STATES,2010,Y,N
Around the Bend Beer Co.,Chicago,Illinois,UNITED STATES,2014,Y,N
Arrowhead,Glendale,Arizona,UNITED STATES,1998,Y,N
Asheville,Fletcher,North Carolina,UNITED STATES,1980,Y,N
Ashuelot Brewing Company,Richmond,New Hampshire,UNITED STATES,2014,Y,N
Aslan Brewing Company,Bellingham,Washington,UNITED STATES,2012,Y,N
Atlanta Brewhouse,Buckhead,Atlanta,UNITED STATES,1997,Y,N
Atwater Grand Rapids,Grand Rapids,Michigan,UNITED STATES,1997,Y,N
Atwater in the Park,Grosse Pointe Park,Michigan,UNITED STATES,1997,Y,N
Atwood Ales Farm Brewery,Blaine,Washington,UNITED STATES,2016,Y,N
Aurora,Aurora,Colorado,UNITED STATES,1978,Y,N
Austin,Austin,Texas,UNITED STATES,2013,Y,N
Austin (arbor Walk),Austin,Texas,UNITED STATES,1978,Y,N
Avery Brewing Co.,Boulder,Colorado,UNITED STATES,1993,Y,N
Axle Brewing Company,Ferndale,Michigan,UNITED STATES,2015,Y,N
Badass Backyard CDA,"AveCoeur d'Alene,",Idaho,UNITED STATES,2015,Y,N
Baere Brewing Company,Denver,Colorado,UNITED STATES,2014,Y,N
Baffin Brewing Company,St. Clair Shores,Michigan,UNITED STATES,2014,Y,N
Bagby Beer Company,Oceanside,California,UNITED STATES,2014,Y,N
Baldwinsville,Baldwinsville,New York,UNITED STATES,1852,Y,N
Ballast Point Long Beach,Long Beach,California,UNITED STATES,1996,Y,N
Balmoral Taproom,Chicago,Illinois,UNITED STATES,2006,Y,N
Barley's Ale House #1,Columbus,Ohio,UNITED STATES,1992,Y,N
Barrel House,Medford,Oregon,UNITED STATES,2011,Y,N
Barrelworks,Buellton,California,UNITED STATES,1996,Y,N
Bartlett Maine Estate Winery,Gouldsboro,Maine,UNITED STATES,1983,Y,N
Basserie Caquot,Mognard,Savoie,FRANCE,2017,Y,N
Bay Bridge Brewing,Chula Vista,California,UNITED STATES,2007,Y,N
BBC 3rd and Main,Louisville,Kentucky,UNITED STATES,1993,Y,N
Beaus Brewery,Vankleek Hill,Ontario,CANADA,2006,Y,N
Beaverton,Beaverton,Oregon,UNITED STATES,1993,Y,N
Beer Army Outpost,New Bern,North Carolina,UNITED STATES,2015,N,Y
Beer Hall & Brewery,Rochester,New York,UNITED STATES,1992,Y,N
Bel Air,Bel Air,Maryland,UNITED STATES,1996,Y,Y
Belching Beaver Brewery Tavern & Grill,Vista,California,UNITED STATES,2012,Y,N
Belmont Shore,Long Beach,California,UNITED STATES,1978,Y,N
Benchmark Brewing Company,San Diego,California,UNITED STATES,2012,Y,N
Bend Pub,Bend,Oregon,UNITED STATES,2006,Y,N
Beryl's Beer Co,Denver,Colorado,UNITED STATES,2013,N,Y
Bethesda,Bethesda,Maryland,UNITED STATES,1998,Y,N
Bielefeld,['null'],['null'],['null'],1989,['null'],['null']
Bière de Mac Brew Works,Mackinaw City,Michigan,UNITED STATES,2016,Y,N
Biergarten,Salem,Massachusetts,UNITED STATES,2010,Y,N
Bikebar,Portland,Oregon,UNITED STATES,2008,Y,N
"Biker Brewhouse, LLC",Youngstown,Ohio,UNITED STATES,2017,Y,N
Bircus,Ludlow,Kentucky,UNITED STATES,2015,Y,N
Birmingham,Birmingham,Alabama,UNITED STATES,2009,Y,N
Blackstone Brewing Co,Nashville,Tennessee,UNITED STATES,1994,Y,N
Blue Bee Cider,Richmond,Virginia,UNITED STATES,2012,Y,N
Blue Corn Cafe,Santa Fe,New Mexico,UNITED STATES,1997,Y,N
Bluebonnet Beer Company,Round Rock,Texas,UNITED STATES,2014,Y,N
BlueTarp Brewing Co.,Decatur,Georgia,UNITED STATES,2012,Y,N
Boochcraft,Chula Vista,California,UNITED STATES,2014,Y,N
Boscos Squared,Memphis,Tennessee,UNITED STATES,1992,Y,N
Boss Dog Brewing Company,Cleveland Heights,Ohio,UNITED STATES,2017,Y,N
Brasserie Corrézienne,Curemonte,['null'],['null'],2009,['null'],['null']
Brasserie du Jorat,1085 Vulliens,Switzerland,SWITZERLAND,2006,Y,N
Brasserie Licorne,Saverne,Alsace,FRANCE,1845,Y,N
Brasserie POPIHN,['null'],['null'],['null'],2017,['null'],['null']
Brasserie Valaisanne,Sion,['null'],['null'],1865,['null'],['null']
Brauhaus Schönbuch Calw,Calw,Baden-Württemberg,GERMANY,1823,Y,N
Bravo Zulu Brewing,N Williamsburg,Michigan,UNITED STATES,2013,N,Y
Brea,Brea,California,UNITED STATES,1978,Y,N
Breakwall Brewing Company,Port Colborne,Ontario,CANADA,2018,Y,N
Brewery,Honolulu,Hawaii,UNITED STATES,2016,Y,N
Brewery,Scotia,California,UNITED STATES,1995,Y,N
Brewery & Restaurant,Falls Church,Virginia,UNITED STATES,2010,Y,N
Brewery & Tap Room,Kettering,Ohio,UNITED STATES,2012,Y,N
Brewing House,Eugene,Oregon,UNITED STATES,2012,Y,N
Brewpub,Greenwood,South Carolina,UNITED STATES,2014,Y,N
Brewpub,Tampa,Florida,UNITED STATES,2007,Y,N
Bushwhacker Cider - Woodlawn,Portland,Oregon,UNITED STATES,2010,Y,N
Calibration Brewery,North Kansas City,Missouri,UNITED STATES,2016,Y,N
Cayman Islands Brewery,Patricks Island,['null'],['null'],2007,['null'],['null']
Century City,Los Angeles,California,UNITED STATES,1978,Y,N
Christchurch,Christchurch,New Zealand,NEW ZEALAND,1978,Y,N
Colorado Springs,Colorado Springs,Colorado,UNITED STATES,1971,Y,N
Clearwater,Clearwater,Florida,UNITED STATES,1978,Y,N
Clearwater,Clearwater,Florida,UNITED STATES,1993,Y,N
Clermont Aubiere,Clermont Aubiere,['null'],['null'],1986,['null'],['null']
Cleveland,North Olmsted,Ohio,UNITED STATES,2012,Y,N
Cleveland ChopHouse & Brewery,Cleveland,Ohio,UNITED STATES,1996,Y,Y
Clifford Brewing Co.,Hamilton,Ontario,CANADA,2015,Y,N
Clifton Park,Clifton Park,New York,UNITED STATES,1996,Y,N
Cloud 9 Brewery,Boise,Idaho,UNITED STATES,2012,Y,N
Clouds Brewing,Durham,North Carolina,UNITED STATES,2014,Y,N
Clubhouse Brewing Company,Warren,Ohio,UNITED STATES,2017,Y,N
Clybourn,Chicago,Illinois,UNITED STATES,1995,Y,N
Cock-a-Doodle Brews,Lone Jack,Missouri,UNITED STATES,1997,Y,N
College Station,College Station,Texas,UNITED STATES,1978,Y,N
Collegeville,Collegeville,Pennsylvania,UNITED STATES,1951,Y,N
Collindale,Fort Collins,Colorado,UNITED STATES,1971,Y,N
Colorado Cellars Winery,Palisade,Colorado,UNITED STATES,1978,Y,N
Colorado Springs,Colorado Springs,Colorado,UNITED STATES,1978,Y,N
Colorado Springs,Colorado Springs,Colorado,UNITED STATES,1998,Y,N
Columbia,Columbia,Maryland,UNITED STATES,2001,Y,N
Columbus,Columbus,Ohio,UNITED STATES,1852,Y,N
Common Space Brewery,Hawthorne,California,UNITED STATES,2018,Y,N
Concord,Concord,California,UNITED STATES,1978,Y,N
Contract Brewery,Chicago,Illinois,UNITED STATES,2016,Y,N
Coquelles,Coquelles,['null'],['null'],1986,['null'],['null']
Cornelius Pass Roadhouse Brewery,Hillsboro,Oregon,UNITED STATES,1983,Y,N
Corona,Corona,California,UNITED STATES,1976,Y,N
Corona,Corona,California,UNITED STATES,1978,Y,N
Corsaire,Lévis,Québec,CANADA,2008,Y,N
Cottonwood Public House,St Vicksburg,Mississippi,UNITED STATES,2018,Y,N
Coulee Brew Co.,Lethbridge,Alberta,CANADA,2016,Y,N
Cranker's Coney Island,Mount Pleasant,Michigan,UNITED STATES,2012,Y,N
Cranker's Restaurant & Brewery,Grand Rapids,Michigan,UNITED STATES,2012,Y,N
Crystal Coast Brewing Company,Atlantic Beach,North Carolina,UNITED STATES,2017,Y,N
Dallas,Dallas,Texas,UNITED STATES,1997,Y,N
Dallas (NW Highway),Dallas,Texas,UNITED STATES,1976,Y,N
Das Kleine Brauhaus,Ulm,Baden-Wrttemberg,GERMANY,2003,Y,N
Deception Brewing Company,Dundee,Oregon,UNITED STATES,2014,Y,N
Deep Creek Brews and Eats,Browns Bay,Auckland,NEW ZEALAND,1996,Y,N
Denver Downtown,Denver,Colorado,UNITED STATES,1998,Y,N
Der Hirschbräu,Sonthofen,['null'],['null'],1657,['null'],['null']
Des Moines Branch,Des Moines,Iowa,UNITED STATES,2009,Y,N
Deschutes Brewery Portland Public House,Portland,Oregon,UNITED STATES,1988,Y,N
Desert Ridge,Phoenix,Arizona,UNITED STATES,1978,Y,N
DESTIHL Brewery & Beer Hall,Normal,Illinois,UNITED STATES,2013,Y,N
Devil Wind Brewing,Xenia,Ohio,UNITED STATES,2017,Y,N
Devil's Peak Brewing Company,Cape Town,Western Province,SOUTH AFRICA,2012,Y,N
Divine Barrel Brewing,Charlotte,North Carolina,UNITED STATES,2018,Y,N
Dobbers Sports Bar and Grill,Canandaigua,New York,UNITED STATES,2014,Y,N
Dogfish Head Brewings & Eats,Rehoboth Beach,Delaware,UNITED STATES,1995,Y,N
Double Mountain Taproom,Portland,Oregon,UNITED STATES,2007,Y,N
Downtown,San Diego,California,UNITED STATES,1989,Y,N
Downtown OKC,Oklahoma City,Oklahoma,UNITED STATES,1992,Y,N
Drake's Dealership,Oakland,California,UNITED STATES,1989,Y,N
Drekker Brewing Company,Fargo,North Dakota,UNITED STATES,2013,Y,N
Drunken Rabbit Brewing,South Hadley,Massachusetts,UNITED STATES,2017,Y,N
Dubious Claims Brewing,Excelsior Springs,Missouri,UNITED STATES,2018,Y,N
Duncan's Abbey,Tarrytown,New York,UNITED STATES,2013,Y,N
Dust Bowl Brewing Co.,Turlock,California,UNITED STATES,2009,Y,N
Eastern Front Brewing Co,Mattituck,New York,UNITED STATES,2015,Y,N
Eastlake,Chula Vista,California,UNITED STATES,1991,Y,N
Edgefield Brewery,Troutdale,Oregon,UNITED STATES,1983,Y,N
Edmund's Oast Brewery,Charleston,South Carolina,UNITED STATES,2013,Y,N
Eldorado Taphouse,Santa Fe,New Mexico,UNITED STATES,1988,Y,N
Eleventh Street,Omaha,Nebraska,UNITED STATES,1996,Y,N
Elk Brewing,Grand Rapids,Michigan,UNITED STATES,2014,Y,N
Elk Grove,Elk Grove,California,UNITED STATES,1978,Y,N
Emmett's Ale House,Downers Grove,Illinois,UNITED STATES,1999,Y,N
Encinitas,Encinitas,California,UNITED STATES,1991,Y,N
Englos,Englos,['null'],['null'],1986,['null'],['null']
Escondido,Escondido,California,UNITED STATES,1978,Y,N
Evergreen Tap House,Evergreen,Colorado,UNITED STATES,2015,Y,N
Fairfield,Fairfield,California,UNITED STATES,1852,Y,N
Fanning Brewing Company,Blue Ridge,Georgia,UNITED STATES,2012,Y,N
Farmington Brewing Company,Farmington,Michigan,UNITED STATES,2012,Y,N
Fegley's Allentown Brew Works,Allentown,Pennsylvania,UNITED STATES,1998,Y,N
Ferrari Beer Company,Dobbs Ferry,New York,UNITED STATES,2014,Y,N
Field Bordatto,Jaxu,['null'],['null'],2001,['null'],['null']
Finest Made Ales,Santee,California,UNITED STATES,2016,Y,N
Flix Brewhouse - Round Rock,Round Rock,Texas,UNITED STATES,2011,Y,N
Flying Belgian Brewery,Farmingdale,New York,UNITED STATES,2015,Y,N
Fools Fire Brewing Company,Tallahassee,Florida,UNITED STATES,2017,Y,N
Foothills Brewpub,Winston-Salem,North Carolina,UNITED STATES,2004,Y,N
Former Future Brewing Company,Denver,Colorado,UNITED STATES,2014,N,Y
Fort Point Beer Company,San Francisco,California,UNITED STATES,2013,Y,N
Fort Worth (hulen Mall),Fort Worth,Texas,UNITED STATES,1978,Y,N
Fortnight Brewing,Cary,North Carolina,UNITED STATES,2012,Y,N
Four Eyed Guys Brewing,Spokane,Washington,UNITED STATES,2016,Y,N
Framingham,Framingham,Massachusetts,UNITED STATES,1992,Y,N
Front Range Brewing Company Taproom,Lafayette,Colorado,UNITED STATES,2013,Y,N
Front Royal Brewing Co.,Front Royal,Virginia,UNITED STATES,2017,Y,N
Funky Buddha Brewery,Oakland Park,Florida,UNITED STATES,2010,Y,N
Gadsden,Gadsden,Alabama,UNITED STATES,2009,Y,N
"Gazcue, Cerveza Artesanal",Santo Domingo,Dominican Republic,DOMINICAN REPUBLIC,2013,Y,N
Generations brewing co.,Freeport,Illinios,UNITED STATES,2014,Y,N
Ghost Town Brewing,Oakland,California,UNITED STATES,2012,Y,N
Glasgow,['null'],['null'],['null'],2006,['null'],['null']
Good Nature Tap Room,Hamilton,New York,UNITED STATES,2010,Y,N
Great Notion Taproom,Portland,Oregon,UNITED STATES,2016,Y,N
Green Flash Brewing Co,Virginia Beach,Virginia,UNITED STATES,2002,Y,Y
Greensboro,Greensboro,North Carolina,UNITED STATES,2004,Y,N
Grixsen Brewing Co.,Portland,Oregon,UNITED STATES,2015,Y,N
Headquarters,Saint-Omer,['null'],['null'],1866,['null'],['null']
Headquarters,Lisboa,['null'],['null'],2014,['null'],['null']
Heaven's Gate Brewery,Riggins,Idaho,UNITED STATES,2016,Y,N
Heavy Seas Alehouse - Baltimore,Baltimore,Maryland,UNITED STATES,1995,Y,Y
Heineken Experience,Amsterdam,Noord-Holland,NETHERLANDS,1873,Y,N
Heritage Brewing Co.,Manassas,Virginia,UNITED STATES,2013,Y,N
Hickory Location,Hickory,North Carolina,UNITED STATES,2011,Y,N
High Perch Brewing Company,Amsterdam,New York,UNITED STATES,2015,Y,N
High Point,High Point,North Carolina,UNITED STATES,2000,Y,N
High Water Brewing,Pittsburg,California,UNITED STATES,2011,Y,N
Highlands Ranch,Highlands Ranch,Colorado,UNITED STATES,1971,Y,N
Hillsdale Brewery,Portland,Oregon,UNITED STATES,1983,Y,N
Hofbräuhaus Chicago,Rosemont,Illinois,UNITED STATES,1589,Y,N
Hofbräuhaus Columbus,Columbus,Ohio,UNITED STATES,1589,Y,N
Hofbräuhaus Las Vegas,Las Vegas,Nevada,UNITED STATES,1589,Y,N
Hofbräuhaus Newport,Newport,Kentucky,UNITED STATES,1589,Y,N
Home Brew Mart,San Diego,California,UNITED STATES,1996,Y,N
Honeyrun Winery & Honey Company,Chico,California,UNITED STATES,1992,Y,N
HopCat,Royal Oak,Michigan,UNITED STATES,2008,Y,N
HopCat Detroit,Detroit,Michigan,UNITED STATES,2008,Y,N
HopCat Madison,Madison,Wisconsin,UNITED STATES,2008,Y,N
HopFly Brewing Company,Rocky Mount,North Carolina,UNITED STATES,2017,Y,N
Hops Bar & Grill / Down the Alley / Still Cocktail Bar,Doylestown,Pennsylvania,UNITED STATES,2011,Y,N
House Bear Brewing,Newburyport,Massachusetts,UNITED STATES,2013,Y,N
Houston (willowbrook),Houston,Texas,UNITED STATES,1978,Y,N
Hunter's Handmade Brewery,Mount Pleasant,Michigan,UNITED STATES,2015,Y,N
Huntington Beach,Huntington Beach,California,UNITED STATES,1976,Y,N
Huntington Beach,Huntington Beach,California,UNITED STATES,1978,Y,N
Huntington Beach Tap Room,Huntington Beach,California,UNITED STATES,2011,Y,N
Hyappa Brews,Gamagori-shi,Aichi Prefecture,JAPAN,2013,Y,N
Icarus Brewing,Lakewood,New Jersey,UNITED STATES,2017,Y,N
Imperial Western Beer Company,Los Angeles,California,UNITED STATES,2018,Y,N
Industria de Bebidas Cervejarte,['null'],['null'],['null'],2017,['null'],['null']
Intermission Beer Company,Glen Allen,Virginia,UNITED STATES,2013,Y,N
Inventors Brewpub,"Port Washington,",Wisconsin,UNITED STATES,2017,Y,N
Iron Hill Brewery & Restaurant  - Lancaster,Lancaster,Pennsylvania,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - Center City,Philadelphia,Pennsylvania,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - Greenville,Greenville,South Carolina,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - Huntingdon Valley,Huntingdon Valley,Pennsylvania,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - West Chester,West Chester,Pennsylvania,UNITED STATES,1996,Y,N
Irwindale Brewery,Irwindale,California,UNITED STATES,1895,Y,N
Island Dog Brewing,South Portland,Maine,UNITED STATES,2016,Y,N
Ivanhoe Park Brewing Co.,Orlando,Florida,UNITED STATES,2018,Y,N
Jacked Up Brewery,Escondido,California,UNITED STATES,2016,Y,N
Jacksonville,Jacksonville,Florida,UNITED STATES,1978,Y,N
Jeremiah Johnson Brewing Co.,Great Falls,Montana,UNITED STATES,2011,Y,N
John Barleycorns Brewery,Tigard,Oregon,UNITED STATES,1983,Y,N
Kane Brewing Co.,Ocean Township,New Jersey,UNITED STATES,2011,Y,N
käretäs brewing,Itasca,Illinois,UNITED STATES,2016,Y,N
Kennett Square,Kennett Square,Pennsylvania,UNITED STATES,1996,Y,N
King of Prussia,King of Prussia,Pennsylvania,UNITED STATES,1998,Y,Y
Kissimmee,Kissimmee,Florida,UNITED STATES,1978,Y,N
Koholā Brewery,Lahaina,Hawaii,UNITED STATES,2015,Y,N
La Cruces Taproom,Las Cruces,New Mexico,UNITED STATES,2010,Y,N
La Mesa,La Mesa,California,UNITED STATES,1978,Y,N
Labège,Labège Cedex,Toulouse,FRANCE,1986,Y,N
Lacey,Lacey,Washington,UNITED STATES,1971,Y,N
Laguna Beach,Laguna Beach,California,UNITED STATES,1978,Y,N
Lake Charlevoix,Charlevoix,Michigan,UNITED STATES,2015,Y,N
Lakes Austin Ales,Austin,Texas,UNITED STATES,2018,Y,N
Lakewood,Lakewood,Washington,UNITED STATES,1971,Y,N
Lancaster Brewery,Lancaster,Lancashire,UNITED KINGDOM,2005,Y,N
Layton,Layton,Utah,UNITED STATES,1994,Y,N
Le Lion d'Or,Sherbrooke,Québec,CANADA,1973,Y,N
Legends Brewery,Pretoria,Gauteng Province,SOUTH AFRICA,2016,Y,N
Lewisville,Lewisville,Texas,UNITED STATES,2013,Y,N
Liar's Bench Beer Co.,Portsmouth,New Hampshire,UNITED STATES,2016,Y,N
Lille,Lille,['null'],['null'],1986,['null'],['null']
Lo Rez Brewing and Taproom,Chicago,Illinois,UNITED STATES,2016,Y,N
Logan Tasting Room,San Diego,California,UNITED STATES,2013,Y,N
Look Long Brewing Company,POrtland,Oregon,UNITED STATES,2018,Y,N
Los Angeles - The Dankness Dojo,Los Angeles,California,UNITED STATES,2012,Y,N
Lost Colony Brewery,Manteo,North Carolina,UNITED STATES,2011,Y,N
Loveland Centerra Promenade,Loveland,Colorado,UNITED STATES,1998,Y,N
Lowercase Brewing - Production Facility,Seattle,Washington,UNITED STATES,2013,Y,N
Macedonian Thrace Brewery,Komotini,Northern Greece,GREECE,1998,Y,N
Mad Anthony's Lakeview Alehouse and Reception Hall,Angola,Indiana,UNITED STATES,1998,Y,N
Main Brewery,Urbana,Illinois,UNITED STATES,1998,N,Y
Main Brewery,Independence,Oregon,UNITED STATES,1988,Y,N
Main Brewery,['null'],['null'],['null'],2013,['null'],['null']
